timestamp,latitude,longitude,speed,heading,accuracy,has_defect
1788794808.985,20.292,85.821,24.5,82.0,3.5,0
1788794810.985,20.2928,85.8217,25.5,82.0,3.5,0
1788794812.985,20.2936,85.8224,26.5,82.0,3.5,0
1788794814.985,20.2944,85.8231,24.5,82.0,3.5,0
1788794816.985,20.2952,85.8238,25.5,82.0,3.5,0
1788794818.985,20.29615,85.82455,26.5,82.0,3.5,1
1788794820.985,20.2968,85.8252,24.5,82.0,3.5,0
1788794822.985,20.2976,85.8259,25.5,82.0,3.5,0
1788794824.985,20.2984,85.8266,26.5,82.0,3.5,0
1788794826.985,20.2992,85.8273,24.5,82.0,3.5,0
1788794828.985,20.3,85.828,25.5,82.0,3.5,0
1788794830.985,20.3008,85.8287,26.5,82.0,3.5,0
